Erster    ;7208,9 ;Gesamtzeit         ;99602,1     ; ;PipeZeit ;22231,9
          ;2662   ;                   ;            ; ;         ;
          ;2677,4 ;                   ;            ; ;         ;
          ;2652,3 ;                   ;            ; ;         ;
          ;2660,6 ;                   ;            ; ;         ;
          ;2657,5 ;                   ;            ; ;         ;
          ;2648,4 ;                   ;            ; ;         ;
          ;2655,7 ;                   ;            ; ;         ;
          ;2659,9 ;                   ;            ; ;         ;
          ;2663,8 ;                   ;            ; ;         ;
          ;2649,1 ;                   ;            ; ;         ;
          ;2657,1 ;                   ;            ; ;         ;
          ;2672,2 ;                   ;            ; ;         ;
          ;2667,5 ;                   ;            ; ;         ;
          ;2665,8 ;                   ;            ; ;         ;
          ;2667,8 ;                   ;            ; ;         ;
          ;2664,5 ;                   ;            ; ;         ;
          ;2649,5 ;                   ;            ; ;         ;
          ;2667,3 ;                   ;            ; ;         ;
          ;       ;                   ;            ; ;         ;
Siebenter ;3805,9 ;Gesamtzeit         ;94699,4     ; ;PipeZeit ;22037
          ;2665,7 ;Durchschnitt       ;2705,697143 ; ;         ;
          ;2687,9 ;                   ;            ; ;Faktor   ;4,29729092
          ;2698,6 ;                   ;            ; ;         ;
          ;2675,4 ;                   ;            ; ;         ;
          ;2670,5 ;                   ;            ; ;         ;
          ;2672,7 ;                   ;            ; ;         ;
          ;2681,3 ;                   ;            ; ;         ;
          ;2682,9 ;                   ;            ; ;         ;
          ;2684,7 ;                   ;            ; ;         ;
          ;2677,2 ;                   ;            ; ;         ;
          ;2669,8 ;                   ;            ; ;         ;
          ;2680,6 ;                   ;            ; ;         ;
          ;2675,7 ;                   ;            ; ;         ;
          ;2660,7 ;                   ;            ; ;         ;
          ;2661,2 ;                   ;            ; ;         ;
          ;2702,3 ;                   ;            ; ;         ;
          ;2658,7 ;                   ;            ; ;         ;
          ;2656,8 ;                   ;            ; ;         ;
          ;2654   ;                   ;            ; ;         ;
          ;2679,7 ;                   ;            ; ;         ;
          ;2670,9 ;                   ;            ; ;         ;
          ;2643,9 ;                   ;            ; ;         ;
          ;2678   ;                   ;            ; ;         ;
          ;2672,1 ;                   ;            ; ;         ;
          ;2669   ;                   ;            ; ;         ;
          ;2672,6 ;                   ;            ; ;         ;
          ;2672,6 ;                   ;            ; ;         ;
          ;2689,8 ;                   ;            ; ;         ;
          ;2672,7 ;                   ;            ; ;         ;
          ;2659,8 ;                   ;            ; ;         ;
          ;2675,1 ;                   ;            ; ;         ;
          ;2671,4 ;                   ;            ; ;         ;
          ;2675,3 ;                   ;            ; ;         ;
          ;2673,9 ;                   ;            ; ;         ;
          ;       ;                   ;            ; ;         ;
Achter    ;3914,2 ;Gesamtzeit         ;96138       ; ;PipeZeit ;22419,6
          ;2703,2 ;Durchschnitt       ;2746,8      ; ;         ;
          ;2717,7 ;                   ;            ; ;Faktor   ;4,288122892
          ;2714,1 ;                   ;            ; ;         ;
          ;2693   ;                   ;            ; ;         ;
          ;2712,6 ;                   ;            ; ;         ;
          ;2714,6 ;                   ;            ; ;         ;
          ;2719,5 ;                   ;            ; ;         ;
          ;2727,6 ;                   ;            ; ;         ;
          ;2715,4 ;                   ;            ; ;         ;
          ;2720,5 ;                   ;            ; ;         ;
          ;2718,2 ;                   ;            ; ;         ;
          ;2702,6 ;                   ;            ; ;         ;
          ;2711,8 ;                   ;            ; ;         ;
          ;2713,6 ;                   ;            ; ;         ;
          ;2715,2 ;                   ;            ; ;         ;
          ;2702,1 ;                   ;            ; ;         ;
          ;2720,3 ;                   ;            ; ;         ;
          ;2722,3 ;                   ;            ; ;         ;
          ;2716,2 ;                   ;            ; ;         ;
          ;2693,8 ;                   ;            ; ;         ;
          ;2717,8 ;                   ;            ; ;         ;
          ;2704,6 ;                   ;            ; ;         ;
          ;2716   ;                   ;            ; ;         ;
          ;2705   ;                   ;            ; ;         ;
          ;2719,6 ;                   ;            ; ;         ;
          ;2722,5 ;                   ;            ; ;         ;
          ;2699,7 ;                   ;            ; ;         ;
          ;2714   ;                   ;            ; ;         ;
          ;2719,2 ;                   ;            ; ;         ;
          ;2714,5 ;                   ;            ; ;         ;
          ;2717,1 ;                   ;            ; ;         ;
          ;2727,4 ;                   ;            ; ;         ;
          ;2698,8 ;                   ;            ; ;         ;
